Frase,Autor,Cat1,Cat2,Cat3,Cat4
Lo que sabemos es una gota de agua; lo que ignoramos es el océano.,Isaac Newton (1642-1727) Matemático y físico británico.,CUALIDADES,MADUREZ,,
"Es duro, es doloroso, no ser amado cuando se ama todavía, pero es bastante más duro ser todavía amado cuando ya no se ama.",Benjamin Constant (1767-1830) Escritor y político francés.,NATURALEZA,SER HUMANO,HACER,
Comienza a manifestarse la madurez cuando sentimos que nuestra preocupación es mayor por los demás que por nosotros mismos.,Albert Einstein (1879-1955) Científico alemán nacionalizado estadounidense.,SENTIMIENTOS,ESPERANZA,,
"A veces sentimos que lo que hacemos es tan solo una gota en el mar, pero el mar sería menos si le faltara una gota.",Madre Teresa de Calcuta (1910-1997) Misionera de origen albanés naturalizada india,NATURALEZA,SER HUMANO,PERDONAR,
"Si supiera que el mundo se acaba mañana, yo, hoy todavía, plantaría un árbol.",Martin Luther King (1929-1968) Religioso estadounidense.,SENTIMIENTOS,AMOR,BESOS,
Los hombres que no perdonan a las mujeres sus pequeños defectos jamás disfrutarán de sus grandes virtudes.,"Khalil Gibran (1883-1931) Ensayista, novelista y poeta libanés.",SENTIMIENTOS,AMOR,,
"La decisión del primer beso es la más crucial en cualquier historia de amor, porque contiene dentro de sí la rendición.",Emil Ludwig (1881-1949) Escritor alemán.,SENTIMIENTOS,FELICIDAD,,
No sabrás todo lo que valgo hasta que no pueda ser junto a ti todo lo que soy.,Gregorio Marañón (1887-1960) Médico y escritor español.,SENTIMIENTOS,AMISTAD,,
Un hombre puede ser feliz con cualquier mujer mientras que no la ame.,Oscar Wilde (1854-1900) Dramaturgo y novelista irlandés.,CUALIDADES,DISCRECIÓN,,
Nuestra amistad no depende de cosas como el espacio y el tiempo.,Richard Bach (1936-?) Escritor y aviador estadounidense.,MISCELÁNEA,AYUDAR,,
"Callando es como se aprende a oír; oyendo es como se aprende a hablar; y luego, hablando se aprende a callar.",Diógenes Laercio (S. III AC-?) Historiador griego.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,PENSAR,
